File:, rs03_210318_0000
VERSION:,2.00000
FILE_PREFIX:,rs03
FILE_NUMBER:,0
NUM_SCANS:,4
CURRENT_SCAN:,0
RESOLUTION:,0.0160000
NYQUIST:,39.6825
SAMPLES:,3000
SPEED:,5.00000
ZPD:,0.000000
BUFFER_SIZE:,20
DATE:,Thu Mar 18 15:47:57 2021
JULDATE:,2459292.2
SOURCE:,
COMMENT:,500C; 0.4in aperture; 130mK; 0.2Vbias

OPD (cm), Signal (V)
  0.0000, 5.8776855E-001
  0.0126, 5.8704376E-001
  0.0252, 5.8853149E-001
  0.0378, 5.8921814E-001
  0.0504, 5.8822632E-001
  0.0630, 5.8845520E-001
  0.0756, 5.8815002E-001
  0.0882, 5.8898926E-001
  0.1008, 5.8803558E-001
  0.1134, 5.8715820E-001
  0.1260, 5.8792114E-001
  0.1386, 5.8887482E-001
  0.1512, 5.8902740E-001
  0.1638, 5.8860779E-001
  0.1764, 5.8914185E-001
  0.1890, 5.8841705E-001
  0.2016, 5.8959961E-001
  0.2142, 5.8864594E-001
  0.2268, 5.8887482E-001
  0.2394, 5.8883667E-001
  0.2520, 5.8822632E-001
  0.2646, 5.8723450E-001
  0.2772, 5.8929443E-001
  0.2898, 5.8906555E-001
  0.3024, 5.8948517E-001
  0.3150, 5.9082031E-001
  0.3276, 5.8937073E-001
  0.3402, 5.8856964E-001
  0.3528, 5.8860779E-001
  0.3654, 5.8917999E-001
  0.3780, 5.8906555E-001
  0.3906, 5.8784485E-001
  0.4032, 5.8845520E-001
  0.4158, 5.8776855E-001
  0.4284, 5.8753967E-001
  0.4410, 5.8757782E-001
  0.4536, 5.8887482E-001
  0.4662, 5.8898926E-001
  0.4788, 5.8876038E-001
  0.4914, 5.8731079E-001
  0.5040, 5.8677673E-001
  0.5166, 5.8647156E-001
  0.5292, 5.8490753E-001
  0.5418, 5.8490753E-001
  0.5544, 5.8444977E-001
  0.5670, 5.8654785E-001
  0.5796, 5.8616638E-001
  0.5922, 5.8776855E-001
  0.6048, 5.8734894E-001
  0.6174, 5.8883667E-001
  0.6300, 5.8902740E-001
  0.6426, 5.8963776E-001
  0.6552, 5.8837891E-001
