File:, rs29_120731_0007
VERSION:,2.00000
FILE_PREFIX:,rs29
FILE_NUMBER:,7
NUM_SCANS:,10
CURRENT_SCAN:,7
RESOLUTION:,0.0160000
NYQUIST:,192.308
SAMPLES:,14543
SPEED:,5.00000
ZPD:,0.000000
BUFFER_SIZE:,50
DATE:,Tue Jul 31 02:57:35 2012
JULDATE:,2456139.6
SOURCE:,1050C
COMMENT:,db=5050; Tb=120mK; polarizer=0; aperture=1"

OPD (cm), Signal (V)
  0.0000, 5.0750732E-001
  0.0026, 5.0781250E-001
  0.0052, 5.0720215E-001
  0.0078, 5.0720215E-001
  0.0104, 5.0689697E-001
  0.0130, 5.0720215E-001
  0.0156, 5.0811768E-001
  0.0182, 5.0781250E-001
  0.0208, 5.0811768E-001
  0.0234, 5.0781250E-001
  0.0260, 5.0720215E-001
  0.0286, 5.0781250E-001
  0.0312, 5.0720215E-001
  0.0338, 5.0750732E-001
  0.0364, 5.0659180E-001
  0.0390, 5.0689697E-001
  0.0416, 5.0689697E-001
  0.0442, 5.0689697E-001
  0.0468, 5.0689697E-001
  0.0494, 5.0689697E-001
  0.0520, 5.0689697E-001
  0.0546, 5.0689697E-001
  0.0572, 5.0659180E-001
  0.0598, 5.0689697E-001
  0.0624, 5.0689697E-001
  0.0650, 5.0750732E-001
  0.0676, 5.0750732E-001
  0.0702, 5.0750732E-001
  0.0728, 5.0628662E-001
  0.0754, 5.0598145E-001
  0.0780, 5.0628662E-001
  0.0806, 5.0659180E-001
  0.0832, 5.0720215E-001
  0.0858, 5.0689697E-001
  0.0884, 5.0720215E-001
  0.0910, 5.0659180E-001
  0.0936, 5.0689697E-001
  0.0962, 5.0781250E-001
  0.0988, 5.0720215E-001
  0.1014, 5.0689697E-001
  0.1040, 5.0781250E-001
  0.1066, 5.0781250E-001
  0.1092, 5.0842285E-001
  0.1118, 5.0781250E-001
  0.1144, 5.0750732E-001
  0.1170, 5.0750732E-001
  0.1196, 5.0750732E-001
  0.1222, 5.0750732E-001
  0.1248, 5.0781250E-001
  0.1274, 5.0781250E-001
  0.1300, 5.0781250E-001
  0.1326, 5.0689697E-001
  0.1352, 5.0720215E-001
  0.1378, 5.0628662E-001
  0.1404, 5.0659180E-001
  0.1430, 5.0689697E-001
  0.1456, 5.0689697E-001
  0.1482, 5.0750732E-001
  0.1508, 5.0689697E-001
  0.1534, 5.0689697E-001
  0.1560, 5.0689697E-001
  0.1586, 5.0628662E-001
  0.1612, 5.0689697E-001
  0.1638, 5.0781250E-001
  0.1664, 5.0720215E-001
  0.1690, 5.0811768E-001
  0.1716, 5.0781250E-001
  0.1742, 5.0781250E-001
  0.1768, 5.0781250E-001
  0.1794, 5.0781250E-001
  0.1820, 5.0781250E-001
  0.1846, 5.0781250E-001
  0.1872, 5.0689697E-001
  0.1898, 5.0781250E-001
  0.1924, 5.0842285E-001
  0.1950, 5.0781250E-001
  0.1976, 5.0842285E-001
  0.2002, 5.0842285E-001
  0.2028, 5.0781250E-001
  0.2054, 5.0781250E-001
  0.2080, 5.0842285E-001
  0.2106, 5.0750732E-001
  0.2132, 5.0750732E-001
  0.2158, 5.0842285E-001
  0.2184, 5.0689697E-001
  0.2210, 5.0781250E-001
  0.2236, 5.0811768E-001
  0.2262, 5.0781250E-001
  0.2288, 5.0750732E-001
  0.2314, 5.0689697E-001
  0.2340, 5.0720215E-001
  0.2366, 5.0811768E-001
  0.2392, 5.0811768E-001
  0.2418, 5.0781250E-001
  0.2444, 5.0872803E-001
  0.2470, 5.0811768E-001
  0.2496, 5.0811768E-001
  0.2522, 5.0781250E-001
  0.2548, 5.0872803E-001
  0.2574, 5.0903320E-001
  0.2600, 5.0872803E-001
  0.2626, 5.0842285E-001
  0.2652, 5.0842285E-001
  0.2678, 5.0872803E-001
