Freq (GHz),trans
1,3.25E-11
2,1.31E-10
3,2.97E-10
4,5.36E-10
5,8.54E-10
6,1.26E-09
7,1.76E-09
8,2.37E-09
9,3.10E-09
10,3.97E-09
11,4.99E-09
12,6.18E-09
13,7.57E-09
14,9.17E-09
15,1.10E-08
16,1.31E-08
17,1.55E-08
18,1.82E-08
19,2.13E-08
20,2.47E-08
21,2.86E-08
22,3.30E-08
23,3.80E-08
24,4.36E-08
25,5.00E-08
26,5.73E-08
27,6.57E-08
28,7.53E-08
29,8.65E-08
30,9.95E-08
31,1.15E-07
32,1.33E-07
33,1.54E-07
34,1.80E-07
35,2.11E-07
36,2.48E-07
37,2.94E-07
38,3.49E-07
39,4.18E-07
40,5.02E-07
41,6.07E-07
42,7.39E-07
43,9.04E-07
44,1.11E-06
45,1.38E-06
46,1.72E-06
47,2.15E-06
48,2.71E-06
49,3.43E-06
50,4.38E-06
51,5.61E-06
52,7.22E-06
53,9.36E-06
54,1.22E-05
55,1.60E-05
56,2.11E-05
57,2.81E-05
58,3.76E-05
59,5.08E-05
60,6.93E-05
61,9.55E-05
62,0.000133
63,0.000189
64,0.000272
65,0.000399
66,0.000598
67,0.000917
68,0.001445
69,0.002348
70,0.003949
71,0.006916
72,0.012683
73,0.024507
74,0.05013
75,0.108152
76,0.238081
77,0.481702
78,0.758724
79,0.897926
80,0.920889
81,0.917863
82,0.920488
83,0.928357
84,0.935309
85,0.93835
86,0.93837
87,0.937775
88,0.938264
89,0.940011
90,0.942045
91,0.943138
92,0.942606
93,0.940643
94,0.938126
95,0.936093
96,0.935227
97,0.935555
98,0.936409
99,0.936653
100,0.935142
101,0.93156
102,0.926277
103,0.921305
104,0.918736
105,0.914595
106,0.883003
107,0.762943
108,0.528792
109,0.290627
110,0.141637
111,0.081935
112,0.042325
113,0.021001
114,0.010826
115,0.005896
116,0.003384
117,0.002034
118,0.001272
119,0.000823
120,0.000547
121,0.000373
122,0.00026
123,0.000184
124,0.000132
125,9.63E-05
126,7.07E-05
127,5.23E-05
128,3.89E-05
129,2.90E-05
130,2.17E-05
131,1.63E-05
132,1.23E-05
133,9.34E-06
134,7.12E-06
135,5.47E-06
136,4.24E-06
137,3.32E-06
138,2.64E-06
139,2.12E-06
140,1.74E-06
141,1.45E-06
142,1.23E-06
143,1.07E-06
144,9.53E-07
145,8.75E-07
146,8.29E-07
147,8.14E-07
148,8.29E-07
149,8.72E-07
150,9.26E-07
151,9.35E-07
152,8.07E-07
153,5.58E-07
154,3.27E-07
155,1.80E-07
156,1.00E-07
157,5.74E-08
158,3.40E-08
159,2.08E-08
160,1.31E-08
161,8.51E-09
162,5.64E-09
163,3.81E-09
164,2.62E-09
165,1.83E-09
166,1.29E-09
167,9.22E-10
168,6.66E-10
169,4.85E-10
170,3.56E-10
171,2.63E-10
172,1.95E-10
173,1.45E-10
174,1.09E-10
175,8.14E-11
176,6.11E-11
177,4.58E-11
178,3.44E-11
179,2.60E-11
180,1.98E-11
181,1.57E-11
182,1.36E-11
183,1.60E-11
184,7.84E-11
185,1.36E-11
186,2.16E-12
187,1.67E-12
188,2.19E-12
189,3.25E-12
190,4.85E-12
191,7.12E-12
192,1.02E-11
193,1.45E-11
194,2.03E-11
195,2.85E-11
196,4.02E-11
197,5.75E-11
198,8.44E-11
199,1.28E-10
200,2.07E-10
201,3.63E-10
202,7.34E-10
203,1.96E-09
204,1.12E-08
205,9.14E-08
206,4.96E-09
207,1.67E-09
208,8.71E-10
209,5.54E-10
210,3.96E-10
211,3.05E-10
212,2.48E-10
213,2.10E-10
214,1.84E-10
215,1.66E-10
216,1.52E-10
217,1.43E-10
218,1.37E-10
219,1.32E-10
220,1.30E-10
221,1.30E-10
222,1.31E-10
223,1.34E-10
224,1.38E-10
225,1.45E-10
226,1.53E-10
227,1.63E-10
228,1.76E-10
229,1.93E-10
230,2.13E-10
231,2.38E-10
232,2.69E-10
233,3.08E-10
234,3.58E-10
235,4.23E-10
236,5.09E-10
237,6.25E-10
238,7.94E-10
239,1.06E-09
240,1.59E-09
241,3.85E-09
242,2.18E-10
243,7.17E-10
244,1.49E-09
245,2.34E-09
246,3.47E-09
247,5.10E-09
248,7.55E-09
249,1.14E-08
250,1.76E-08
251,2.80E-08
252,4.63E-08
253,8.02E-08
254,1.47E-07
255,2.90E-07
256,6.28E-07
257,1.56E-06
258,4.84E-06
259,2.30E-05
260,0.00035
261,0.000192
262,7.02E-05
263,5.55E-05
264,6.12E-05
265,7.85E-05
266,9.57E-05
267,9.15E-05
268,7.25E-05
269,5.67E-05
270,4.77E-05
271,4.38E-05
272,4.33E-05
273,4.46E-05
274,4.61E-05
275,4.57E-05
276,4.28E-05
277,3.85E-05
278,3.45E-05
279,3.18E-05
280,3.05E-05
281,3.06E-05
282,3.17E-05
283,3.27E-05
284,3.27E-05
285,3.08E-05
286,2.78E-05
287,2.48E-05
288,2.25E-05
289,2.05E-05
290,1.77E-05
291,1.30E-05
292,8.02E-06
293,4.51E-06
294,2.56E-06
295,1.54E-06
296,1.00E-06
297,7.19E-07
298,5.70E-07
299,5.12E-07
300,5.44E-07
301,7.61E-07
302,2.00E-06
303,5.35E-05
304,6.90E-07
305,1.25E-07
306,3.94E-08
307,1.59E-08
308,7.40E-09
309,3.82E-09
310,2.14E-09
311,1.29E-09
312,8.28E-10
313,5.77E-10
314,4.52E-10
315,4.39E-10
316,8.33E-10
317,1.80E-09
318,8.44E-12
319,3.83E-13
320,2.18E-12
321,2.77E-12
322,2.64E-12
323,2.26E-12
324,1.84E-12
325,1.47E-12
326,1.15E-12
327,8.92E-13
328,6.90E-13
329,5.32E-13
330,4.09E-13
331,3.14E-13
332,2.41E-13
333,1.84E-13
334,1.40E-13
335,1.06E-13
336,7.98E-14
337,5.94E-14
338,4.37E-14
339,3.15E-14
340,2.22E-14
341,1.52E-14
342,9.84E-15
343,5.95E-15
344,3.19E-15
345,1.38E-15
346,3.54E-16
347,1.25E-17
348,2.84E-16
349,1.13E-15
350,2.55E-15
351,4.55E-15
352,7.20E-15
353,1.06E-14
354,1.49E-14
355,2.02E-14
356,2.69E-14
357,3.54E-14
358,4.62E-14
359,6.02E-14
360,7.85E-14
361,8.95E-14
362,1.37E-13
363,2.94E-13
364,5.43E-13
365,8.19E-13
366,1.18E-12
367,1.76E-12
368,2.87E-12
369,5.35E-12
370,1.27E-11
371,5.17E-11
372,3.24E-09
373,7.46E-11
