Freq (GHz),trans
374,2.01E-11
375,9.96E-12
376,6.35E-12
377,4.69E-12
378,3.82E-12
379,3.35E-12
380,3.12E-12
381,3.08E-12
382,3.21E-12
383,3.54E-12
384,4.17E-12
385,5.31E-12
386,7.56E-12
387,1.28E-11
388,3.00E-11
389,1.90E-10
390,4.34E-10
391,3.12E-11
392,9.69E-12
393,4.46E-12
394,2.48E-12
395,1.54E-12
396,1.04E-12
397,7.31E-13
398,5.38E-13
399,4.10E-13
400,3.20E-13
401,2.55E-13
402,2.07E-13
403,1.71E-13
404,1.42E-13
405,1.20E-13
406,1.02E-13
407,8.80E-14
408,7.68E-14
409,6.87E-14
410,6.48E-14
411,7.07E-14
412,1.52E-13
413,5.46E-14
414,1.03E-17
415,3.44E-16
416,3.57E-17
417,3.48E-16
418,2.69E-15
419,8.76E-15
420,2.10E-14
421,4.34E-14
422,8.22E-14
423,1.48E-13
424,2.57E-13
425,4.38E-13
426,7.41E-13
427,1.25E-12
428,2.12E-12
429,3.62E-12
430,6.24E-12
431,1.11E-11
432,2.07E-11
433,4.05E-11
434,8.53E-11
435,2.02E-10
436,6.08E-10
437,4.04E-09
438,3.99E-09
439,1.97E-10
440,7.04E-09
441,4.67E-07
442,8.05E-08
443,3.40E-08
444,2.92E-08
445,3.41E-08
446,4.89E-08
447,8.31E-08
448,1.61E-07
449,3.01E-07
450,3.68E-07
451,3.00E-07
452,2.36E-07
453,2.07E-07
454,2.03E-07
455,2.19E-07
456,2.51E-07
457,2.92E-07
458,3.30E-07
459,3.46E-07
460,3.40E-07
461,3.25E-07
462,3.13E-07
463,3.12E-07
464,3.26E-07
465,3.53E-07
466,3.88E-07
467,4.18E-07
468,4.30E-07
469,4.16E-07
470,3.86E-07
471,3.56E-07
472,3.31E-07
473,3.11E-07
474,2.87E-07
475,2.52E-07
476,2.05E-07
477,1.59E-07
478,1.23E-07
479,1.02E-07
480,9.46E-08
481,1.06E-07
482,1.68E-07
483,7.06E-07
484,8.20E-07
485,5.52E-08
486,1.29E-08
487,4.47E-09
488,1.89E-09
489,9.04E-10
490,4.72E-10
491,2.63E-10
492,1.55E-10
493,9.52E-11
494,6.06E-11
495,3.99E-11
496,2.70E-11
497,1.87E-11
498,1.33E-11
499,9.63E-12
500,7.11E-12
501,5.03E-12
502,3.73E-12
503,2.87E-12
504,2.28E-12
505,1.87E-12
506,1.56E-12
507,1.34E-12
508,1.17E-12
509,1.05E-12
510,9.66E-13
511,9.08E-13
512,8.79E-13
513,8.81E-13
514,9.24E-13
515,1.04E-12
516,1.28E-12
517,1.92E-12
518,4.42E-12
519,1.05E-10
520,3.85E-12
521,4.30E-13
522,8.39E-14
523,1.50E-14
524,9.86E-16
525,1.22E-15
526,5.28E-15
527,1.01E-14
528,1.48E-14
529,1.91E-14
530,2.31E-14
531,2.68E-14
532,3.04E-14
533,3.40E-14
534,3.79E-14
535,4.21E-14
536,4.70E-14
537,5.29E-14
538,6.03E-14
539,6.97E-14
540,8.24E-14
541,1.00E-13
542,1.27E-13
543,1.69E-13
544,2.43E-13
545,3.93E-13
546,7.83E-13
547,2.46E-12
548,5.26E-11
549,5.46E-12
550,1.10E-12
551,4.81E-13
552,2.99E-13
553,2.47E-13
554,2.79E-13
555,2.66E-13
556,6.84E-14
557,1.33E-14
558,4.11E-15
559,1.98E-15
560,1.42E-15
561,1.34E-15
562,1.50E-15
563,1.80E-15
564,2.24E-15
565,2.81E-15
566,3.52E-15
567,4.38E-15
568,5.43E-15
569,6.70E-15
570,8.21E-15
571,1.00E-14
572,1.22E-14
573,1.49E-14
574,1.81E-14
575,2.20E-14
576,2.68E-14
577,3.26E-14
578,3.98E-14
579,4.87E-14
580,5.97E-14
581,7.35E-14
582,9.09E-14
583,1.13E-13
584,1.41E-13
585,1.76E-13
586,2.22E-13
587,2.81E-13
588,3.57E-13
589,4.58E-13
590,5.90E-13
591,7.67E-13
592,1.00E-12
593,1.32E-12
594,1.76E-12
595,2.35E-12
596,3.18E-12
597,4.35E-12
598,6.00E-12
599,8.36E-12
600,1.18E-11
601,1.68E-11
602,2.44E-11
603,3.57E-11
604,5.32E-11
605,8.05E-11
606,1.24E-10
607,1.95E-10
608,3.13E-10
609,5.15E-10
610,8.69E-10
611,1.51E-09
612,2.73E-09
613,5.12E-09
614,1.01E-08
615,2.11E-08
616,4.77E-08
617,1.20E-07
618,3.51E-07
619,1.34E-06
620,9.37E-06
621,0.000607
622,2.94E-05
623,1.52E-05
624,1.45E-05
625,1.88E-05
626,3.26E-05
627,0.000103
628,3.94E-05
629,0.00023
630,0.001018
631,0.006426
632,0.09358
633,0.134574
634,0.00071
635,0.003856
636,0.001666
637,0.000982
638,0.000718
639,0.000609
640,0.000569
641,0.000551
642,0.000519
643,0.000459
644,0.000386
645,0.000321
646,0.000275
647,0.000247
648,0.000235
649,0.000232
650,0.000232
651,0.000226
652,0.000208
653,0.000181
654,0.000152
655,0.000127
656,0.000108
657,9.41E-05
658,8.28E-05
659,7.25E-05
660,6.27E-05
661,5.43E-05
662,4.88E-05
663,4.83E-05
664,5.78E-05
665,0.000104
666,0.000641
667,0.000129
668,1.58E-05
669,4.20E-06
670,1.52E-06
671,6.56E-07
672,3.18E-07
673,1.68E-07
674,9.57E-08
675,6.33E-08
676,2.85E-08
677,1.99E-08
678,1.33E-08
679,9.12E-09
680,6.38E-09
681,4.56E-09
682,3.33E-09
683,2.48E-09
684,1.89E-09
685,1.46E-09
686,1.15E-09
687,9.20E-10
688,8.05E-10
689,9.23E-10
690,9.90E-10
691,1.05E-09
692,6.06E-10
693,6.56E-10
694,5.71E-10
695,4.79E-10
696,3.98E-10
697,3.32E-10
698,2.80E-10
699,2.40E-10
700,2.09E-10
701,1.87E-10
702,1.70E-10
703,1.59E-10
704,1.52E-10
705,1.49E-10
706,1.49E-10
707,1.53E-10
708,1.62E-10
709,1.76E-10
710,1.96E-10
711,2.26E-10
712,2.71E-10
713,3.37E-10
714,4.40E-10
715,6.09E-10
716,9.07E-10
717,1.50E-09
718,2.87E-09
719,7.23E-09
720,3.48E-08
721,7.98E-07
722,2.94E-08
723,9.68E-09
724,5.36E-09
725,3.78E-09
726,3.10E-09
727,2.84E-09
728,2.84E-09
729,3.07E-09
730,3.57E-09
731,4.47E-09
732,6.02E-09
733,8.73E-09
734,1.36E-08
735,2.23E-08
736,3.70E-08
737,5.27E-08
738,2.63E-08
739,5.31E-08
740,2.56E-07
741,2.02E-07
742,2.33E-07
743,9.90E-07
744,1.36E-07
745,1.20E-08
746,2.42E-09
747,6.86E-10
748,2.36E-10
749,9.50E-11
750,4.20E-11
751,2.53E-11
752,1.77E-11
753,1.30E-11
754,9.91E-12
755,7.82E-12
756,6.35E-12
757,5.30E-12
758,4.53E-12
759,3.95E-12
760,3.52E-12
761,3.20E-12
762,2.95E-12
763,2.77E-12
764,2.64E-12
765,2.54E-12
766,2.49E-12
767,2.46E-12
768,2.46E-12
769,2.49E-12
770,2.55E-12
771,2.64E-12
772,2.75E-12
773,2.90E-12
774,3.09E-12
775,3.33E-12
776,3.61E-12
777,3.96E-12
778,4.39E-12
779,4.91E-12
780,5.56E-12
781,6.35E-12
782,7.34E-12
783,8.57E-12
784,1.01E-11
785,1.20E-11
786,1.45E-11
787,1.74E-11
788,2.07E-11
789,2.25E-11
790,3.13E-12
791,9.69E-11
792,9.90E-11
793,1.28E-10
794,1.79E-10
795,2.63E-10
796,4.07E-10
797,6.69E-10
798,1.18E-09
799,2.30E-09
800,5.18E-09
801,1.50E-08
802,7.81E-08
803,2.91E-06
804,1.35E-07
805,4.96E-08
806,3.23E-08
807,2.74E-08
808,2.75E-08
809,3.15E-08
810,4.06E-08
811,5.93E-08
812,1.00E-07
813,2.03E-07
814,6.67E-07
815,1.19E-06
816,7.05E-07
817,3.90E-07
818,2.56E-07
819,1.98E-07
820,1.77E-07
821,1.80E-07
822,2.04E-07
823,2.50E-07
824,3.03E-07
825,2.82E-07
826,6.24E-08
827,1.92E-07
828,5.27E-07
829,6.25E-07
830,5.06E-07
831,4.18E-07
832,3.73E-07
833,3.57E-07
834,3.58E-07
835,3.77E-07
836,4.90E-07
837,1.09E-07
838,1.31E-07
839,1.23E-07
840,1.07E-07
841,9.30E-08
842,8.09E-08
843,7.07E-08
844,6.21E-08
845,5.52E-08
846,5.13E-08
847,5.28E-08
848,6.56E-08
849,1.23E-07
850,6.68E-07
851,1.21E-07
852,1.62E-08
853,4.28E-09
854,1.51E-09
855,6.28E-10
856,2.90E-10
857,1.45E-10
858,7.62E-11
859,4.20E-11
860,2.40E-11
861,1.40E-11
862,8.28E-12
863,4.82E-12
864,2.56E-12
865,2.49E-12
866,3.28E-12
867,1.70E-12
868,1.05E-12
869,6.87E-13
870,4.57E-13
871,3.02E-13
872,1.92E-13
873,1.07E-13
874,3.86E-14
875,8.97E-14
876,4.12E-13
877,2.16E-13
878,1.36E-13
879,9.72E-14
880,7.45E-14
881,5.96E-14
882,4.92E-14
883,4.16E-14
884,3.58E-14
885,3.15E-14
886,2.81E-14
887,2.54E-14
888,2.39E-14
889,2.33E-14
890,2.32E-14
891,2.34E-14
892,2.42E-14
893,2.55E-14
894,2.76E-14
895,3.07E-14
896,3.51E-14
897,4.15E-14
898,5.11E-14
899,6.60E-14
900,9.03E-14
901,1.33E-13
902,2.17E-13
903,4.13E-13
904,1.02E-12
905,4.65E-12
906,3.49E-10
907,5.74E-12
908,1.87E-12
909,1.12E-12
910,9.31E-13
911,1.03E-12
912,1.77E-12
913,1.30E-11
914,2.64E-12
915,1.87E-13
916,2.16E-14
917,4.70E-16
918,7.26E-15
919,3.08E-14
920,1.02E-13
921,8.66E-13
922,1.11E-14
923,3.58E-13
924,1.05E-10
925,6.24E-13
926,1.38E-13
927,3.32E-14
928,7.08E-14
929,2.48E-13
930,5.96E-14
931,4.26E-14
932,3.12E-14
933,2.43E-14
934,1.97E-14
935,1.65E-14
936,1.42E-14
937,1.24E-14
938,1.12E-14
939,1.04E-14
940,9.78E-15
941,9.50E-15
942,9.68E-15
943,1.04E-14
944,1.04E-14
945,9.62E-15
946,9.39E-15
947,9.72E-15
948,1.07E-14
949,1.26E-14
950,1.69E-14
951,3.06E-14
952,2.22E-13
953,1.26E-14
954,5.88E-17
955,1.62E-15
956,4.01E-15
957,7.21E-15
958,1.21E-14
959,2.01E-14
960,3.47E-14
961,6.28E-14
962,1.21E-13
963,2.50E-13
964,5.66E-13
965,1.45E-12
966,4.43E-12
967,1.80E-11
968,7.02E-11
969,4.82E-11
970,5.32E-11
971,4.37E-11
972,4.36E-11
973,5.05E-11
974,6.55E-11
975,9.34E-11
976,1.44E-10
977,1.99E-10
978,6.09E-10
979,1.37E-09
980,4.46E-09
981,3.58E-08
982,2.25E-07
983,1.91E-08
984,9.01E-09
985,6.60E-09
986,6.02E-09
987,6.34E-09
988,7.44E-09
989,9.57E-09
990,1.34E-08
991,2.03E-08
992,3.38E-08
993,6.23E-08
994,1.30E-07
995,3.20E-07
996,9.78E-07
997,3.44E-06
998,4.69E-06
999,2.96E-06
1000,2.23E-06
